class,status,representation,graph_nodes,configuration,limitations
ReLU6,equivalent,primitive graph / uncovered,"{""BROADCAST"": 6, ""MUL"": 3, ""ADD"": 4, ""NONLINEAR"": 2}",default parameters; RReLU eval; GLU last dim,
ReflectionPad1d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 1}","asymmetric positive padding (1,2) per axis",
ReflectionPad2d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 1}","asymmetric positive padding (1,2) per axis",
ReflectionPad3d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 1}","asymmetric positive padding (1,2) per axis",
ReplicationPad1d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 1}","asymmetric positive padding (1,2) per axis",
ReplicationPad2d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 1}","asymmetric positive padding (1,2) per axis",
ReplicationPad3d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 1}","asymmetric positive padding (1,2) per axis",
SELU,gap,primitive graph / uncovered,{},,No exact lowering implemented: exp/log/reciprocal or value comparison/selection is outside NONLINEAR v0.1 modes. This is not an impossibility proof.
Sequential,equivalent,primitive graph / uncovered,"{""PERMUTE"": 2, ""PROJECT"": 2, ""BROADCAST"": 2, ""ADD"": 2, ""NONLINEAR"": 1}",Linear -> ReLU -> Linear,
SiLU,equivalent,primitive graph / uncovered,"{""NONLINEAR"": 1}",default parameters; RReLU eval; GLU last dim,
Sigmoid,equivalent,primitive graph / uncovered,"{""NONLINEAR"": 1}",default parameters; RReLU eval; GLU last dim,
SmoothL1Loss,equivalent,primitive graph / uncovered,"{""BROADCAST"": 7, ""MUL"": 8, ""ADD"": 4, ""NONLINEAR"": 3, ""REDUCE"": 1}",default mean reduction,
SoftMarginLoss,gap,primitive graph / uncovered,{},,Reference smoke only; no DSL-only lowering implemented for this loss (log/exp/norm/index/branch semantics must be specified).
Softmax,equivalent,primitive graph / uncovered,"{""NORMALIZE"": 1}",default parameters; RReLU eval; GLU last dim,
Softmax2d,equivalent,primitive graph / uncovered,"{""NORMALIZE"": 1}",default parameters; RReLU eval; GLU last dim,
Softmin,equivalent,primitive graph / uncovered,"{""BROADCAST"": 1, ""MUL"": 1, ""NORMALIZE"": 1}",default parameters; RReLU eval; GLU last dim,
Softplus,gap,primitive graph / uncovered,{},,No exact lowering implemented: exp/log/reciprocal or value comparison/selection is outside NONLINEAR v0.1 modes. This is not an impossibility proof.
Softshrink,equivalent,primitive graph / uncovered,"{""BROADCAST"": 6, ""MUL"": 4, ""ADD"": 3, ""NONLINEAR"": 2}",default parameters; RReLU eval; GLU last dim,
Softsign,gap,primitive graph / uncovered,{},,No exact lowering implemented: exp/log/reciprocal or value comparison/selection is outside NONLINEAR v0.1 modes. This is not an impossibility proof.
SyncBatchNorm,equivalent,primitive graph / uncovered,"{""RESHAPE"": 4, ""BROADCAST"": 5, ""MUL"": 3, ""ADD"": 2}",eval(); fixed running buffers; affine=True; lazy materialized,"Only inference, no running-stat updates or distributed all-reduce. Train-mode outputs are tested separately."
Tanh,equivalent,primitive graph / uncovered,"{""NONLINEAR"": 1}",default parameters; RReLU eval; GLU last dim,
Tanhshrink,equivalent,primitive graph / uncovered,"{""NONLINEAR"": 1, ""BROADCAST"": 1, ""MUL"": 1, ""ADD"": 1}",default parameters; RReLU eval; GLU last dim,
Threshold,gap,primitive graph / uncovered,{},,No exact lowering implemented: exp/log/reciprocal or value comparison/selection is outside NONLINEAR v0.1 modes. This is not an impossibility proof.
Transformer,equivalent,REPEAT,"{""REPEAT"": 2, ""ROUTE"": 18, ""PERMUTE"": 28, ""PROJECT"": 16, ""BROADCAST"": 19, ""ADD"": 21, ""RESHAPE"": 12, ""COMPARE"": 3, ""MUL"": 3, ""NORMALIZE"": 3, ""MIX"": 3, ""REDUCE"": 3, ""NORM"": 7, ""NONLINEAR"": 2}",small full forward; 1 layer; relu; no masks/dropout,"Not all Transformer configurations, ragged/nested inputs or generation behavior."
TransformerDecoder,equivalent,REPEAT,"{""REPEAT"": 1, ""ROUTE"": 12, ""PERMUTE"": 18, ""PROJECT"": 10, ""BROADCAST"": 12, ""ADD"": 13, ""RESHAPE"": 8, ""COMPARE"": 2, ""MUL"": 2, ""NORMALIZE"": 2, ""MIX"": 2, ""REDUCE"": 2, ""NORM"": 3, ""NONLINEAR"": 1}",small full forward; 1 layer; relu; no masks/dropout,"Not all Transformer configurations, ragged/nested inputs or generation behavior."
TransformerDecoderLayer,equivalent,primitive graph / uncovered,"{""ROUTE"": 12, ""PERMUTE"": 18, ""PROJECT"": 10, ""BROADCAST"": 12, ""ADD"": 13, ""RESHAPE"": 8, ""COMPARE"": 2, ""MUL"": 2, ""NORMALIZE"": 2, ""MIX"": 2, ""REDUCE"": 2, ""NORM"": 3, ""NONLINEAR"": 1}",small full forward; 1 layer; relu; no masks/dropout,"Not all Transformer configurations, ragged/nested inputs or generation behavior."
TransformerEncoder,equivalent,REPEAT,"{""REPEAT"": 1, ""ROUTE"": 6, ""PERMUTE"": 10, ""PROJECT"": 6, ""BROADCAST"": 7, ""ADD"": 8, ""RESHAPE"": 4, ""COMPARE"": 1, ""MUL"": 1, ""NORMALIZE"": 1, ""MIX"": 1, ""REDUCE"": 1, ""NORM"": 2, ""NONLINEAR"": 1}",small full forward; 1 layer; relu; no masks/dropout,"Not all Transformer configurations, ragged/nested inputs or generation behavior."
TransformerEncoderLayer,equivalent,primitive graph / uncovered,"{""ROUTE"": 6, ""PERMUTE"": 10, ""PROJECT"": 6, ""BROADCAST"": 7, ""ADD"": 8, ""RESHAPE"": 4, ""COMPARE"": 1, ""MUL"": 1, ""NORMALIZE"": 1, ""MIX"": 1, ""REDUCE"": 1, ""NORM"": 2, ""NONLINEAR"": 1}",small full forward; 1 layer; relu; no masks/dropout,"Not all Transformer configurations, ragged/nested inputs or generation behavior."
TripletMarginLoss,gap,primitive graph / uncovered,{},,Reference smoke only; no DSL-only lowering implemented for this loss (log/exp/norm/index/branch semantics must be specified).
TripletMarginWithDistanceLoss,gap,primitive graph / uncovered,{},,Reference smoke only; no DSL-only lowering implemented for this loss (log/exp/norm/index/branch semantics must be specified).
Unflatten,equivalent,primitive graph / uncovered,"{""RESHAPE"": 1}",,
Unfold,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 1}",,
Upsample,equivalent,primitive graph / uncovered,"{""PERMUTE"": 6, ""PROJECT"": 2}","fixed output size, nearest or bilinear; no antialias","Static interpolation stencil, not grid_sample or data-dependent resampling."
UpsamplingBilinear2d,equivalent,primitive graph / uncovered,"{""PERMUTE"": 6, ""PROJECT"": 2}","fixed output size, nearest or bilinear; no antialias","Static interpolation stencil, not grid_sample or data-dependent resampling."
UpsamplingNearest2d,equivalent,primitive graph / uncovered,"{""PERMUTE"": 6, ""PROJECT"": 2}","fixed output size, nearest or bilinear; no antialias","Static interpolation stencil, not grid_sample or data-dependent resampling."
ZeroPad1d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 1}","asymmetric positive padding (1,2) per axis",
ZeroPad2d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 1}","asymmetric positive padding (1,2) per axis",
ZeroPad3d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 1}","asymmetric positive padding (1,2) per axis",
